_solve_elapsed_time = 1.35556

z = 64

x [*] :=
 1 1   10 0   19 0   28 1   37 1   46 1   55 0   64 0   73 0   82 1
 2 1   11 1   20 1   29 0   38 1   47 1   56 1   65 1   74 0   83 1
 3 0   12 0   21 1   30 1   39 1   48 1   57 0   66 1   75 1   84 1
 4 0   13 1   22 0   31 0   40 1   49 1   58 1   67 1   76 1   85 1
 5 1   14 1   23 0   32 0   41 1   50 1   59 1   68 1   77 1   86 1
 6 1   15 0   24 1   33 1   42 0   51 0   60 0   69 1   78 1   87 0
 7 1   16 1   25 1   34 1   43 1   52 1   61 0   70 1   79 1   88 1
 8 1   17 0   26 1   35 0   44 1   53 1   62 1   71 1   80 1   89 1
 9 1   18 1   27 0   36 0   45 1   54 0   63 1   72 1   81 1   90 1
;

