_solve_elapsed_time = 38.6097

calculated_sum = 738164000

target_sum = 738164000

set_len = 90

x [*] :=
 1 0   10 0   19 1   28 1   37 1   46 0   55 0   64 0   73 1   82 1
 2 1   11 1   20 1   29 1   38 1   47 1   56 0   65 0   74 0   83 1
 3 1   12 0   21 1   30 1   39 1   48 0   57 0   66 0   75 1   84 1
 4 1   13 1   22 0   31 0   40 0   49 0   58 0   67 0   76 1   85 1
 5 1   14 1   23 1   32 1   41 1   50 0   59 0   68 1   77 1   86 0
 6 0   15 1   24 1   33 1   42 1   51 1   60 0   69 0   78 1   87 1
 7 1   16 1   25 1   34 1   43 0   52 0   61 0   70 1   79 0   88 0
 8 1   17 0   26 0   35 0   44 1   53 0   62 0   71 0   80 0   89 0
 9 1   18 1   27 1   36 0   45 1   54 1   63 0   72 1   81 0   90 0
;

